Symbol,Name,Sector,CompanyName
PPL,PPL Corp.,Utilities,PPL
PX,Praxair Inc.,Materials,Praxair
PFG,Principal Financial Group,Financials,Principal
PG,Procter & Gamble,Consumer Goods,P&G
PGR,Progressive Corp.,Financials,Progressive
PLD,Prologis,Real Estate,Prologis
PRU,Prudential Financial,Financials,Prudential
PEG,Public Serv. Enterprise Inc.,Utilities,Public Serv. Enterprise
PSA,Public Storage,Real Estate,Public Storage
PHM,Pulte Homes Inc.,Consumer Goods,Pulte
PVH,PVH Corp.,Consumer Goods,PVH
QRVO,Qorvo,Technology,Qorvo
QCOM,QUALCOMM Inc.,Technology,QUALCOMM
PWR,Quanta Services Inc.,Industrials,Quanta
DGX,Quest Diagnostics,Health Care,Quest
RRC,Range Resources Corp.,Energy,Range Ressources
RJF,Raymond James Financial Inc.,Financials,Raymond James
RTN,Raytheon Co.,Industrials,Raytheon
O,Realty Income Corporation,Real Estate,Realty Income
RHT,Red Hat Inc.,Technology,Red Hat
REG,Regency Centers Corporation,Real Estate,Regency Centers
REGN,Regeneron,Health Care,Regeneron
RF,Regions Financial Corp.,Financials,Regions Financials
RSG,Republic Services Inc,Industrials,Republic Sevices
RMD,ResMed,Health Care,Resmed
RHI,Robert Half International,Industrials,Robert Half International
ROK,Rockwell Automation Inc.,Industrials,Rockwell Automation
COL,Rockwell Collins,Industrials,Rockwell Collins
ROP,Roper Technologynologies,Industrials,Roper
ROST,Ross Stores,Consumer Goods,Ross
RCL,Royal Caribbean Cruises Ltd,Consumer Goods,Royal Caribbean Cruises
SPGI,"S&P Global, Inc.",Financials,S&P Global
CRM,Salesforce.com,Technology,Salesforce
SBAC,SBA Communications,Real Estate,SBA
SCG,SCANA Corp,Utilities,SCANA
SLB,Schlumberger Ltd.,Energy,Schlumberger
STX,Seagate Technologynology,Technology,Seagate
SEE,Sealed Air,Materials,Sealed Air
SRE,Sempra Energy,Utilities,Sempra
SHW,Sherwin-Williams,Materials,Sherwin-Williams
SPG,Simon Property Group Inc,Real Estate,Simon Property
SWKS,Skyworks Solutions,Technology,Skyworks
SLG,SL Green Realty,Real Estate, SL Green
SNA,Snap-On Inc.,Consumer Goods,Snap-On
SO,Southern Co.,Utilities,Southern
LUV,Southwest Airlines,Industrials,Southwest
SWK,Stanley Black & Decker,Consumer Goods,Stanley Black & Decker
SBUX,Starbucks Corp.,Consumer Goods,Starbucks
STT,State Street Corp.,Financials,State Street
SRCL,Stericycle Inc,Industrials,Stericycle
SYK,Stryker Corp.,Health Care,Stryker
STI,SunTrust Banks,Financials,SunTrust
SIVB,SVB Financial,Financials,SVB
SYMC,Symantec Corp.,Technology,Symantec
SYF,Synchrony Financial,Financials,Synchrony
SNPS,Synopsys Inc.,Technology,Synopsys
SYY,Sysco Corp.,Consumer Goods,Sysco
TROW,T. Rowe Price Group,Financials,T. Rowe
TTWO,Take-Two Interactive,Technology,Take-Two
TPR,"Tapestry, Inc.",Consumer Goods,"Tapestry,"
TGT,Target Corp.,Consumer Goods,Target
TEL,TE Connectivity Ltd.,Technology,TE
FTI,TechnologynipFMC,Energy,TechnologynipFMC
TXN,Texas Instruments,Technology,Texas Insruments
TXT,Textron Inc.,Industrials,Textron
BK,The Bank of New York Mellon Corp.,Financials,New York Mellon
CLX,The Clorox Company,Consumer Goods,Clorox
COO,The Cooper Companies,Health Care,CooperCompanies
HSY,The Hershey Company,Consumer Goods,Hershey
MOS,The Mosaic Company,Materials,Mosiac
TRV,The Travelers Companies Inc.,Financials,Travelers Companies
DIS,The Walt Disney Company,Consumer Goods,Disney
TMO,Thermo Fisher Scientific,Health Care,Thermo
TIF,Tiffany & Co.,Consumer Goods,Tiffany
TWX,Time Warner Inc.,Consumer Goods,Time Warner
TJX,TJX Companies Inc.,Consumer Goods,TJX
TMK,Torchmark Corp.,Financials,Torchmark
TSS,Total System Services,Technology,Total
TSCO,Tractor Supply Company,Consumer Goods,Tractor
TDG,TransDigm Group,Industrials,TransDigm
TRIP,TripAdvisor,Consumer Goods,TripAdvisor
FOXA,Twenty-First Century Fox Class A,Consumer Goods,21 Century Fox A
FOX,Twenty-First Century Fox Class B,Consumer Goods,21 Century Fox B
TSN,Tyson Foods,Consumer Goods,Tyson
USB,U.S. Bancorp,Financials,U.S. Bancorp
UDR,UDR Inc,Real Estate,UDR
ULTA,Ulta Beauty,Consumer Goods,Ulta
UAA,Under Armour Class A,Consumer Goods,Under Armor A
UA,Under Armour Class C,Consumer Goods,Under Armour C
UNP,Union Pacific,Industrials,Union Pacific
UAL,United Continental Holdings,Industrials,United Continental
UNH,United Health Group Inc.,Health Care,United Health
UPS,United Parcel Service,Industrials,United Parcels
URI,"United Rentals, Inc.",Industrials,United Rentals
UTX,United Technologynologies,Industrials,United Technologynologies
UHS,"Universal Health Services, Inc.",Health Care,Universal Health
UNM,Unum Group,Financials,Unum
VFC,V.F. Corp.,Consumer Goods,V.F.
VLO,Valero Energy,Energy,Valero
VAR,Varian Medical Systems,Health Care,Varian
VTR,Ventas Inc,Real Estate,Ventas
VRSN,Verisign Inc.,Technology,Verisign
VRSK,Verisk Analytics,Industrials,Verisk
VZ,Verizon Communications,Telecom,Verizon
VRTX,Vertex Pharmaceuticals Inc,Health Care,Vertex Pharmaceuticals
VIAB,Viacom Inc.,Consumer Goods,Viacom 
V,Visa Inc.,Technology,Visa
VNO,Vornado Realty Trust,Real Estate,Vornado
VMC,Vulcan Materials,Materials,Vulcan
WMT,Wal-Mart Stores,Consumer Goods,Wal-Mart
WBA,Walgreens Boots Alliance,Consumer Goods,Walgreens
WM,Waste Management Inc.,Industrials,WM
WAT,Waters Corporation,Health Care,Waters
WEC,Wec Energy Group Inc,Utilities,Wec Energy
WFC,Wells Fargo,Financials,Wells Fargo
WELL,Welltower Inc.,Real Estate,Welltower
WDC,Western Digital,Technology,Western Digital
WU,Western Union Co,Technology, Western Union
WRK,WestRock Company,Materials,WestRock
WY,Weyerhaeuser Corp.,Real Estate,Weyerhaeuser
WHR,Whirlpool Corp.,Consumer Goods,Whirlpool
WMB,Williams Cos.,Energy,Williams
WLTW,Willis Towers Watson,Financials,Willis
WYN,Wyndham Worldwide,Consumer Goods,Wyndham
WYNN,Wynn Resorts Ltd,Consumer Goods,Wynn
XEL,Xcel Energy Inc,Utilities,Xcel
XRX,Xerox Corp.,Technology,Xerox
XLNX,Xilinx Inc,Technology,Xilinx
XL,XL Capital,Financials,XL
XYL,Xylem Inc.,Industrials,Xylem
YUM,Yum! Brands Inc,Consumer Goods,Yum!
ZBH,Zimmer Biomet Holdings,Health Care,Zimmer
ZION,Zions Bancorp,Financials,Zions
ZTS,Zoetis,Health Care,Zoetis
